id,question,context,is_answerable,gold_answer,category
Q-044,Алакөл қай жерде орналасқан?,Алакөл көлі Алматы және Жетісу облыстары аумағында орналасқан.,True,Алакөл,geo
Q-045,Әлия Молдағұлова кім?,"Әлия — Кеңес Одағының Батыры, мерген.",True,мерген,people
Q-046,ҚазҰУ қай салаға байланысты атақты?,Қазақстандағы ғарыш айлағы — Байқоңыр.,False,,science
Q-047,Қостанай облысының орталығы қай қала?,Қостанай облысының әкімшілік орталығы — Қостанай.,True,Қостанай,geo
Q-048,Қазақстан астанасы қай жылы Астанаға көшірілді?,"Бұл мәтін жалпы сипатта, жауап табылмады.",False,,capital
Q-049,Қазақстан Республикасының Тәуелсіздік күні қашан?,Тәуелсіздік күні — 16 желтоқсан.,True,16 желтоқсан,dates
Q-050,'Әдемі' сөзінің түбірі?,Түбірі — әдемі.,True,әдемі,language
Q-051,ЭКСПО көрме кешені қай қалада?,М. Әуезов — жазушы-драматург.,False,,institutions
Q-052,Қазақстанның ұлттық валютасы қандай?,Қазақ тілі қазіргі кезде кирилл графикасын пайдаланады.,False,,economy
Q-053,Қай өзен Астана қаласы арқылы ағады?,Есіл өзені Астана қаласы арқылы ағады.,True,Есіл,capital
Q-054,Шоқан Уәлиханов кім?,"Ш. Уәлиханов — ғалым, этнограф.",True,ғалым,people
Q-055,Бәйтерек монументі қай қалада?,Қостанай облысының әкімшілік орталығы — Қостанай.,False,,institutions
Q-056,Домбыра деген не?,Алматыны жиі 'оңтүстік астана' деп атайды.,False,,culture
Q-057,Еңбек күні қашан?,Еңбек күні — қыркүйектің соңғы жексенбісі.,True,қыркүйектің соңғы жексенбісі,dates
Q-058,'Жақсы' сөзінің синонимі?,Қазақ тілі қазіргі кезде кирилл графикасын пайдаланады.,False,,language
Q-059,Қазақстандағы ең ірі кен орындарының бірі?,Қобыз — ысқышпен орындалатын қылы аспап.,False,,economy
Q-060,'Әдемі' сөзінің түбірі?,Қыз қуу — қазақтың ат үстіндегі ұлттық ойыны.,False,,language
Q-061,АББР қысқартуы нені білдіреді?,АББР — Азия даму банкі.,True,Азия даму банкі,economy
Q-062,'Үй' сөзінің септелуі мысал?,Теңіз көлі Ақмола облысында орналасқан.,False,,language
Q-063,Алакөл қай жерде орналасқан?,"Бұл мәтін жалпы сипатта, жауап табылмады.",False,,geo
Q-064,Қазақстанның ең үлкен қаласы қайсы?,"Бұл мәтін жалпы сипатта, жауап табылмады.",False,,capital
Q-065,Алтай тауы Қазақстанның қай бөлігінде?,Бұл — өткен шақ.,False,,geo
Q-066,Халықаралық Әуезов театры қай қалада?,Қазақ ұлттық өнер университеті Астанада орналасқан.,False,,institutions
Q-067,Астана атауы Нұр-Сұлтан болып қашан өзгертілді?,Астана 2019 жылы Нұр-Сұлтан болып өзгертілді.,True,2019,history
Q-068,Астрофизика обсерваториясы қайда?,Асы-Түрген обсерваториясы Алматы маңында орналасқан.,True,Асы-Түрген,science
Q-069,'Оқы' етістігінің бұйрық райы?,Астананың бұрынғы атауы — Нұр-Сұлтан (2019–2022).,False,,language
Q-070,Шоқан Уәлиханов кім?,Қазақстан 1991 жылы тәуелсіздігін жариялады.,False,,people
Q-071,Алғашқы ұлттық валюта қашан енгізілді?,Қазақстан қор биржасы (KASE) Алматыда орналасқан.,False,,history
Q-072,Димаш Құдайберген кім?,Димаш — әйгілі қазақстандық әнші.,True,әнші,people
Q-073,Қазақстандағы ең ірі кен орындарының бірі?,Қашаған — ірі мұнай кен орны.,True,Қашаған,economy
Q-074,ҚР Конституциясы қай жылы қабылданды?,ҚР Конституциясы 1995 жылы қабылданды.,True,1995,history
Q-075,ҚР Ұлттық музейі қай қалада?,Назарбаев Университеті Астанада орналасқан.,False,,institutions
Q-076,Әл-Фараби атындағы университет қай қалада?,Ғарышкерлерді дайындау бағдарламалары тарихи тұрғыда Ресеймен байланыста дамыды.,False,,institutions
Q-077,Балқаш қандай су айдыны?,"Балқаш — жартылай тұзды, жартылай тұщы ірі көл.",True,Балқаш,geo
Q-078,Бауыржан Момышұлы кім?,Жеңіс күні — 9 мамыр.,False,,people
Q-079,Қазақ ұлттық өнер университеті қай қалада?,Қазақ ұлттық өнер университеті Астанада орналасқан.,True,Астана,institutions
Q-080,Назарбаев Университеті қай қалада?,Бұл — үстеу.,False,,institutions
Q-081,Қазақстанның ең үлкен қаласы қайсы?,Қазақстандағы ең үлкен қала — Алматы.,True,Алматы,capital
Q-082,Қыз қуу деген не?,Жаңа жыл — 1 қаңтар.,False,,culture
Q-083,Отырар қаласы қай кезеңге жатады?,Отырар — ортағасырлық қала.,True,ортағасыр,history
Q-084,Семей полигоны қайда орналасқан?,Семей ядролық полигоны — Шығыс Қазақстан өңірінде.,True,Шығыс Қазақстан,science
Q-085,Әл-Фараби немен танымал?,Бұл — зат есімге қойылатын сұрақ.,False,,science
Q-086,'Бала' сөзінің көпше түрі?,Көпше түрі — балалар.,True,балалар,language
Q-087,Теңге қашан енгізілді?,Ұлттық валюта — теңге 1993 жылы енгізілді.,True,1993,economy
Q-088,Қазақстанның ең биік нүктесі қайсы?,Мәтінде аталған мәлімет жоқ.,False,,geo
Q-089,Синхротрон бар ма?,АББР — Азия даму банкі.,False,,science
Q-090,Қазақтың ұлттық ойынының бірі?,Асық ату — қазақтың ұлттық ойындарының бірі.,True,Асық ату,culture
Q-091,Алтай тауы Қазақстанның қай бөлігінде?,Алтай таулары Қазақстанның шығысында орналасқан.,True,шығыс,geo
Q-092,Наурыз мерекесі қашан аталады?,Наурыз 22 наурызда тойланады.,True,22 наурыз,dates
Q-093,Назарбаев Университеті қай қалада?,Назарбаев Университеті Астанада орналасқан.,True,Астана,institutions
Q-094,Қазақстанның ең биік нүктесі қайсы?,Ертіс — Қазақстандағы ең ұзын өзендердің бірі.,False,,geo
Q-095,Астананың бұрынғы атауы қандай?,Контекст сұраққа жауап бермейді.,False,,capital
Q-096,Қай қалада 'Отар' полигоны бар?,Түбірі — әдемі.,False,,science
Q-097,Құрбан айт қашан басталады?,Берілген үзіндіде нақты дерек келтірілмеген.,False,,dates
Q-098,Астана қай облысқа кірмейді?,"Астана ешбір облысқа кірмейді, жеке қалалық мәртебеге ие.",True,облысқа кірмейді,capital
Q-099,Маңғыстау облысының орталығы қай қала?,Маңғыстау облысының орталығы — Ақтау.,True,Ақтау,geo
Q-100,Мұхтар Әуезов кім?,М. Әуезов — жазушы-драматург.,True,жазушы,people
Q-101,Астананың бұрынғы атауы қандай?,Астананың бұрынғы атауы — Нұр-Сұлтан (2019–2022).,True,Нұр-Сұлтан,capital
Q-102,Алтай тауы Қазақстанның қай бөлігінде?,"Бұл мәтін жалпы сипатта, жауап табылмады.",False,,geo
Q-103,Құрбан айт қашан басталады?,Құрбан айт күндері жыл сайын өзгеріп тұрады.,True,өзгереді,dates
Q-104,Астананың күні қашан?,Астана күні — 6 шілде.,True,6 шілде,dates
Q-105,Халықаралық Әуезов театры қай қалада?,М. Әуезов атындағы театр Алматыда орналасқан.,True,Алматы,institutions
Q-106,Тілдер күні қашан?,Тілдер күні — қыркүйек айының соңына таман аталып өтеді.,True,қыркүйек,dates
Q-107,Қазақстанның астанасы қай қала?,Көпше түрі — балалар.,False,,capital
Q-108,Киіз үй не үшін қолданылады?,Киіз үй — көшпелі халықтардың дәстүрлі баспанасы.,True,баспана,culture
Q-109,Хан Шатыр қайда орналасқан?,Саятшылық — құсбегілік дәстүрі.,False,,institutions
Q-110,Жеңіс күні қашан?,Жеңіс күні — 9 мамыр.,True,9 мамыр,dates
Q-111,Қай сала экспортта маңызды орын алады?,Мұнай және металл экспорты маңызды орын алады.,True,мұнай,economy
Q-112,Қай қала 'оңтүстік астана' деп аталады?,Алматыны жиі 'оңтүстік астана' деп атайды.,True,Алматы,capital
Q-113,Ядролық физика институты қайда?,Контекст сұраққа жауап бермейді.,False,,science
Q-114,Қазақстан Республикасының Тәуелсіздік күні қашан?,Астана — Қазақстанның астанасы.,False,,dates
Q-115,Саятшылық нені білдіреді?,Қашаған — ірі мұнай кен орны.,False,,culture
Q-116,Абай Құнанбайұлы кім?,"Абай — қазақтың ұлы ақыны, ағартушысы.",True,ақын,people
Q-117,Қобыз қандай аспап?,Қобыз — ысқышпен орындалатын қылы аспап.,True,қылы аспап,culture
Q-118,EXPO қай жылы Астанада өтті?,ЭКСПО 2017 халықаралық көрмесі Астанада өтті.,True,2017,history
Q-119,Қазақстанның ұлттық валютасы қандай?,Қазақстанның ұлттық валютасы — теңге.,True,теңге,economy
Q-120,Байқоңыр қай облыста орналасқан?,Байқоңыр қаласы Қызылорда облысында орналасқан.,True,Қызылорда облысы,geo
Q-121,Латын графикасына көшу туралы шешім қашан талқыланды?,Латын әліпбиіне көшу 2017 жылдан бастап белсенді талқыланды.,True,2017,history
Q-122,ҚР Ұлттық музейі қай қалада?,Қазақстан Республикасының Ұлттық музейі Астанада орналасқан.,True,Астана,institutions
Q-123,Наурыз мерекесі қашан аталады?,Отырар — ортағасырлық қала.,False,,dates
Q-124,Еңбек күні қашан?,Қазақстан 1991 жылы тәуелсіздігін жариялады.,False,,dates
Q-125,Каспий теңізі қай аймақпен шектеседі?,Қазақстанның батысы Каспий теңізімен шектеседі.,True,Каспий теңізі,geo
Q-126,Қазақстанның ең ұзын өзені қайсы?,Ертіс — Қазақстандағы ең ұзын өзендердің бірі.,True,Ертіс,geo
Q-127,Қай қалада 'Отар' полигоны бар?,'Отар' әскери полигоны Жамбыл мен Алматы облыстары шегінде орналасқан (аймақтық).,True,Отар,science
Q-128,Жаңа жыл қашан?,Жаңа жыл — 1 қаңтар.,True,1 қаңтар,dates
Q-129,'Сәлеметсіз бе?' қай тілде амандасу?,Бұл — қазақ тіліндегі сыпайы амандасу.,True,қазақ тілі,language
Q-130,Қостанай облысының орталығы қай қала?,Мәтінде аталған мәлімет жоқ.,False,,geo
Q-131,Қай қалада Қор биржасы орналасқан?,Қазақстан қор биржасы (KASE) Алматыда орналасқан.,True,Алматы,economy
Q-132,Қазақ хандығы қашан құрылған?,Қазақ хандығы XV ғасырдың ортасында құрылған.,True,XV ғасырдың ортасы,history
Q-133,'Кім?' қандай сұрақ сөзі?,"Абай — қазақтың ұлы ақыны, ағартушысы.",False,,language
Q-134,Алғыс айту күні қашан?,"Бұл мәтін жалпы сипатта, жауап табылмады.",False,,dates
Q-135,Қазақстан тәуелсіздігін қай жылы жариялады?,Қазақстан 1991 жылы тәуелсіздігін жариялады.,True,1991,history
Q-136,Құрманғазы кім?,Ы. Жақаев — атақты күрішші.,False,,people
Q-137,Қазақстанның астанасы қай қала?,Астана — Қазақстанның астанасы.,True,Астана,capital
Q-138,Абай атындағы опера және балет театры қайда?,Абай атындағы театр Алматыда орналасқан.,True,Алматы,institutions
Q-139,Алаш партиясы қай ғасырда құрылған?,Наурыз мейрамы 22 наурызда аталып өтеді.,False,,history
Q-140,Абай Құнанбайұлы кім?,Қазақ хандығы XV ғасырдың ортасында құрылған.,False,,people
Q-141,Синхротрон бар ма?,"Қазақстанда үлкен синхротрон жоқ, бірақ жоба талқылануы мүмкін.",True,жоқ,science
Q-142,Қай қалада Қор биржасы орналасқан?,Бұл — зат есімге қойылатын сұрақ.,False,,economy
Q-143,ҚазҰУ қай салаға байланысты атақты?,ҚазҰУ — ғылым мен білім саласындағы жетекші университеттердің бірі.,True,университет,science
Q-144,Алғашқы ұлттық валюта қашан енгізілді?,Теңге 1993 жылы енгізілді.,True,1993,history
Q-145,'Оқы' етістігінің бұйрық райы?,Бұйрық рай: оқы!,True,оқы,language
Q-146,Теңіз көлі қай облыста?,Алғыс айту күні — 1 наурыз.,False,,geo
Q-147,Шымкент қандай қала санатына жатады?,Шымкент — республикалық маңызы бар қала.,True,республикалық маңызы бар қала,capital
Q-148,Қазақ ұлттық өнер университеті қай қалада?,Алаш партиясы ХХ ғасырдың басында құрылған.,False,,institutions
Q-149,'Сәлеметсіз бе?' қай тілде амандасу?,Екінші дүниежүзілік соғыс 1939–1945 жылдары өтті.,False,,language
Q-150,Қазақ тілінің әліпбиі қандай графикаға негізделген?,Қазақ тілі қазіргі кезде кирилл графикасын пайдаланады.,True,кирилл,language
Q-151,Қай сала экспортта маңызды орын алады?,Контекст сұраққа жауап бермейді.,False,,economy
Q-152,Әл-Фараби немен танымал?,"Әл-Фараби — шығыс ғалымы, философ.",True,философ,science
Q-153,'Кешке' қандай сөз табы?,Бұл — үстеу.,True,үстеу,language
Q-154,Алматы қаласының әкімшілік статусы қандай?,Алматы — республикалық маңызы бар қала.,True,республикалық маңызы бар қала,capital
Q-155,Қазақстанның бұрынғы астанасы қай қала?,Бұл — қазақ тіліндегі сыпайы амандасу.,False,,capital
Q-156,Латын графикасына көшу туралы шешім қашан талқыланды?,"Бұл мәтін жалпы сипатта, жауап табылмады.",False,,history
Q-157,Теңге қашан енгізілді?,"Ш. Уәлиханов — ғалым, этнограф.",False,,economy
Q-158,Ыбырай Алтынсарин кім?,Қазақстандағы ең үлкен қала — Алматы.,False,,people
Q-159,Алматы қаласының әкімшілік статусы қандай?,"Астана ешбір облысқа кірмейді, жеке қалалық мәртебеге ие.",False,,capital
Q-160,Киіз үй не үшін қолданылады?,Үй — үйге — үйде — үйден.,False,,culture
Q-161,Мұнай өндіретін ірі өңір?,"Бұл мәтін жалпы сипатта, жауап табылмады.",False,,economy
Q-162,Ыбырай Жақаев несімен әйгілі?,Синонимі — тамаша.,False,,people
Q-163,АЭФ қай қалада өтеді?,Астана экономикалық форумы Астанада өтеді.,True,Астана,economy
Q-164,Ғарыш айлағы қалай аталады?,Қазақстандағы ғарыш айлағы — Байқоңыр.,True,Байқоңыр,science
Q-165,Домбыра деген не?,"Домбыра — қазақтың екі ішекті, шертіп ойналатын музыкалық аспабы.",True,музыкалық аспап,culture
Q-166,Отырар қаласы қай кезеңге жатады?,Шапан — қазақтың дәстүрлі киімдерінің бірі.,False,,history
Q-167,Бәйтерек монументі қай қалада?,Бәйтерек монументі Астанада орналасқан.,True,Астана,institutions
Q-168,Қазақстан тәуелсіздігін қай жылы жариялады?,"Домбыра — қазақтың екі ішекті, шертіп ойналатын музыкалық аспабы.",False,,history
Q-169,Ғарышкерлерді дайындау орталығы қайда?,Үй — үйге — үйде — үйден.,False,,science
Q-170,Алғашқы ұлттық валюта қашан енгізілді?,Контекст сұраққа жауап бермейді.,False,,history
Q-171,ҰОС қашан өтті?,Екінші дүниежүзілік соғыс 1939–1945 жылдары өтті.,True,1939–1945,history
Q-172,'Жақсы' сөзінің синонимі?,Синонимі — тамаша.,True,тамаша,language
Q-173,Қазақстанның ең биік нүктесі қайсы?,Хан-Тәңірі шыңы — Қазақстандағы ең биік шыңдардың бірі.,True,Хан-Тәңірі,geo
Q-174,Қазақ хандығы қашан құрылған?,Бұл мәтінде қажетті ақпарат жоқ.,False,,history
Q-175,Ауыл шаруашылығындағы маңызды дақыл?,Бидай — маңызды дақылдардың бірі.,True,Бидай,economy
Q-176,ҚР ҰҒА не?,Шымкент — республикалық маңызы бар қала.,False,,science
Q-177,Бауыржан Момышұлы кім?,Бауыржан — даңқты қолбасшы.,True,қолбасшы,people
Q-178,Байқоңыр қай облыста орналасқан?,М. Әуезов атындағы театр Алматыда орналасқан.,False,,geo
Q-179,Білім күні қашан?,Хан Шатыр сауда орталығы Астанада орналасқан.,False,,dates
Q-180,Ғарыш айлағы қалай аталады?,Ы. Жақаев — атақты күрішші.,False,,science
Q-181,Қазақстанның бұрынғы астанасы қай қала?,Алматы 1997 жылға дейін Қазақстанның астанасы болған.,True,Алматы,capital
Q-182,Алаш партиясы қай ғасырда құрылған?,"Бұл мәтін жалпы сипатта, жауап табылмады.",False,,history
Q-183,Алғыс айту күні қашан?,Алғыс айту күні — 1 наурыз.,True,1 наурыз,dates
Q-184,Мұхтар Әуезов кім?,Қазақстандағы ғарыш айлағы — Байқоңыр.,False,,people
Q-185,Қазақстан Республикасының Тәуелсіздік күні қашан?,Қыз қуу — қазақтың ат үстіндегі ұлттық ойыны.,False,,dates
Q-186,Әл-Фараби атындағы университет қай қалада?,Әл-Фараби атындағы ҚазҰУ Алматыда орналасқан.,True,Алматы,institutions
Q-187,'Кешке' қандай сөз табы?,Ыбырай — ағартушы-педагог.,False,,language
Q-188,Қазақ ұлттық аграрлық университеті қай қалада?,Ш. Айманов — белгілі кино режиссері және актер.,False,,institutions
Q-189,'Үй' сөзінің септелуі мысал?,Үй — үйге — үйде — үйден.,True,Үйге,language
Q-190,Қобыз қандай аспап?,Абай атындағы театр Алматыда орналасқан.,False,,culture
Q-191,Ыбырай Алтынсарин кім?,Ыбырай — ағартушы-педагог.,True,ағартушы,people
Q-192,Астрофизика обсерваториясы қайда?,АББР — Азия даму банкі.,False,,science
Q-193,Теңіз көлі қай облыста?,Теңіз көлі Ақмола облысында орналасқан.,True,Ақмола облысы,geo
Q-194,Ядролық физика институты қайда?,Ядролық физика институты Алматыда орналасқан.,True,Алматы,science
Q-195,Қазақтың ұлттық ойынының бірі?,Бұл — зат есімге қойылатын сұрақ.,False,,culture
Q-196,Қазақ ұлттық аграрлық университеті қай қалада?,Қазақ ұлттық аграрлық университеті Алматыда орналасқан.,True,Алматы,institutions
Q-197,Қай қала 'оңтүстік астана' деп аталады?,Алтай таулары Қазақстанның шығысында орналасқан.,False,,capital
Q-198,'Мен бардым' қай шақ?,Бауыржан — даңқты қолбасшы.,False,,language
Q-199,АББР қысқартуы нені білдіреді?,Абай атындағы театр Алматыда орналасқан.,False,,economy
Q-200,Хан Шатыр қайда орналасқан?,Хан Шатыр сауда орталығы Астанада орналасқан.,True,Астана,institutions
